ID,Label,Entity Text,是否修改
1,ACT,了斋,1
2,ACT,作斋,1
3,ACT,作法,1
4,ACT,宿,1
5,ACT,手着即瘥,1
6,ACT,手着病即散,1
7,ACT,持斋,1
8,ACT,握固,1
9,ACT,标记,1
10,ACT,标记步数,1
11,ACT,治病,1
12,ACT,禹步北斗七星,1
13,ACT,禹步法,1
14,ACT,闭气,1
15,ACU,18强间,1
16,ACU,19胸乡,1
17,ACU,19颅息,1
18,ACU,22渊腋,1
19,ACU,23神封,1
20,ACU,26彧中,1
21,ACU,27俞府,1
22,ACU,29归来,1
23,ACU,31上髎,1
24,ACU,33膝阳关,1
25,ACU,35犊鼻,1
26,ACU,37殷门,1
27,ACU,42魄户,1
28,ACU,47魂门,1
29,ACU,48阳纲,1
30,ACU,53胞肓,1
31,ACU,61仆参,1
32,ACU,6脊中,1
33,ACU,ACU,1
34,ACU,HT,1
35,ACU,HT 击射,1
36,ACU,KT 石子头穴,1
37,ACU,□骨,1
38,ACU,一两,1
39,ACU,一二七壮,1
40,ACU,一云灸百会百壮,1
41,ACU,一具,1
42,ACU,一分,1
43,ACU,一刺知,1
44,ACU,一十五络穴,1
45,ACU,一十八穴,1
46,ACU,一壮,1
47,ACU,一寸三分,1
48,ACU,一斤,1
49,ACU,一百壮,1
50,ACU,一穴,1
51,ACU,丁亥,1
52,ACU,丁亥时荥少府心,1
53,ACU,丁卯,1
54,ACU,丁少冲,1
55,ACU,丁日未时心少冲,1
56,ACU,丁通里内关,1
57,ACU,七七壮,1
58,ACU,七分,1
59,ACU,七十九穴,1
60,ACU,七十八穴,1
61,ACU,七十枚,1
62,ACU,七壮,1
63,ACU,七星,1
64,ACU,七椎下至阳,1
65,ACU,七椎下间,1
66,ACU,七椎膈俞,1
67,ACU,七穴,1
68,ACU,三,1
69,ACU,三七壮,1
70,ACU,三两,1
71,ACU,三丸,1
72,ACU,三五壮,1
73,ACU,三俞,1
74,ACU,三关,1
75,ACU,三分,1
76,ACU,三刺,1
77,ACU,三刺已,1
78,ACU,三刺而已,1
79,ACU,三十二穴,1
80,ACU,三十六穴,1
81,ACU,三十壮,1
82,ACU,三十穴,1
83,ACU,三四壮,1
84,ACU,三壮,1
85,ACU,三师目,1
86,ACU,三报,1
87,ACU,三报之,1
88,ACU,三报穴,1
89,ACU,三数穴,1
90,ACU,三日一报,1
91,ACU,三昧印,1
92,ACU,三棱扁针,1
93,ACU,三棱针,1
94,ACU,三棱针刺孙络出血,1
95,ACU,三棱针刺气冲穴出血,1
96,ACU,三棱针刺血,1
97,ACU,三棱钢,1
98,ACU,三椎下间,1
99,ACU,三椎骨上一穴,1
100,ACU,三毛,1
101,ACU,三焦下辅俞,1
102,ACU,三焦俞,1
103,ACU,三焦俞二穴,1
104,ACU,三焦募,1
105,ACU,三焦募石门,1
106,ACU,三焦原,1
107,ACU,三焦原阳池,1
108,ACU,三焦天井,1
109,ACU,三焦寄有阳池穴,1
110,ACU,三焦穴,1
111,ACU,三焦经俞穴,1
112,ACU,三焦经原穴,1
113,ACU,三焦经经穴,1
114,ACU,三甲 穴,1
115,ACU,三百六十五会,1
116,ACU,三百六十五大穴,1
117,ACU,三百六十五穴,1
118,ACU,三百六十五穴会,1
119,ACU,三百六十五络,1
120,ACU,三百六十孔穴,1
121,ACU,三百六十有五穴,1
122,ACU,三百六十穴,1
123,ACU,三百零八穴,1
124,ACU,三穴,1
125,ACU,三管,1
126,ACU,三结交,1
127,ACU,三脉之会,1
128,ACU,三脘,1
129,ACU,三脚竹架,1
130,ACU,三血,1
131,ACU,三部九候,1
132,ACU,三里,1
133,ACU,三里下一夫，亦附胫骨外,1
134,ACU,三里二穴,1
135,ACU,三里以下至足中指各八俞,1
136,ACU,三里伏兔,1
137,ACU,三里分白穴,1
138,ACU,三里穴,1
139,ACU,三针,1
140,ACU,三间,1
141,ACU,三间二穴,1
142,ACU,三间穴,1
143,ACU,三阳,1
144,ACU,三阳之络,1
145,ACU,三阳于下,1
146,ACU,三阳五会,1
147,ACU,三阳络,1
148,ACU,三阳络穴,1
149,ACU,三阴,1
150,ACU,三阴之上,1
151,ACU,三阴交,1
152,ACU,三阴交穴,1
153,ACU,三飞法,1
154,ACU,三（椎下两旁各一寸半是也）,1
155,ACU,上 ,1
156,ACU,上 \x,1
157,ACU,上 二穴,1
158,ACU,上 穴,1
159,ACU,上、次、中、下此八髎穴,1
160,ACU,上、次、中、下髎四穴,1
161,ACU,上三里,1
162,ACU,上三髎穴,1
163,ACU,上下二廉,1
164,ACU,上下二穴,1
165,ACU,上下廉,1
166,ACU,上下脘,1
167,ACU,上中二脘,1
168,ACU,上中脘,1
169,ACU,上五穴,1
170,ACU,上傍三,1
171,ACU,上关,1
172,ACU,上关二穴,1
173,ACU,上关穴,1
174,ACU,上出鱼际,1
175,ACU,上宜针,1
176,ACU,上巨墟,1
177,ACU,上巨虚,1
178,ACU,上巨虚穴,1
179,ACU,上廉,1
180,ACU,上廉下一夫,1
181,ACU,上廉下廉,1
182,ACU,上廉二穴,1
183,ACU,上廉穴,1
184,ACU,上心穴,1
185,ACU,上慈宫,1
186,ACU,上昆仑,1
187,ACU,上星,1
188,ACU,上星一穴,1
189,ACU,上星穴,1
190,ACU,上曲池穴,1
191,ACU,上杼,1
192,ACU,上柱骨,1
193,ACU,上气海,1
194,ACU,上穿风府,1
195,ACU,上管,1
196,ACU,上纪,1
197,ACU,上脘,1
198,ACU,上脘穴,1
199,ACU,上腕,1
200,ACU,上补阴陵泉,1
201,ACU,上部人,1
202,ACU,上部地,1
203,ACU,上部天,1
204,ACU,上都,1
205,ACU,上门,1
206,ACU,上陷脉,1
207,ACU,上髎,1
208,ACU,上髎穴,1
209,ACU,上高胃问动脉,1
210,ACU,上龈里,1
211,ACU,上龈里穴,1
212,ACU,下 ,1
213,ACU,下 穴,1
214,ACU,下三里,1
215,ACU,下中髎,1
216,ACU,下俞,1
217,ACU,下关,1
218,ACU,下关二穴,1
219,ACU,下关各一,1
220,ACU,下关穴,1
221,ACU,下取三里,1
222,ACU,下唇一,1
223,ACU,下唇承浆,1
224,ACU,下巨 墟,1
225,ACU,下巨墟,1
226,ACU,下巨虚,1
227,ACU,下巨虚穴,1
228,ACU,下廉,1
229,ACU,下廉三寸,1
230,ACU,下廉二穴,1
231,ACU,下廉穴,1
232,ACU,下昆仑,1
233,ACU,下极,1
234,ACU,下极之俞,1
235,ACU,下极之输,1
236,ACU,下极俞,1
237,ACU,下满,1
238,ACU,下焦俞,1
239,ACU,下空中,1
240,ACU,下管,1
241,ACU,下纪,1
242,ACU,下肓,1
243,ACU,下肢,1
244,ACU,下脐二寸挟之各三,1
245,ACU,下脘,1
246,ACU,下脘一穴,1
247,ACU,下脘穴,1
248,ACU,下腰,1
249,ACU,下至,1
250,ACU,下言,1
251,ACU,下部人,1
252,ACU,下部地,1
253,ACU,下部天,1
254,ACU,下都,1
255,ACU,下针,1
256,ACU,下针浅刺,1
257,ACU,下阴别,1
258,ACU,下阴别一,1
259,ACU,下陵,1
260,ACU,下陵三里,1
261,ACU,下陷脉,1
262,ACU,下颐穴,1
263,ACU,下髎,1
264,ACU,下髎穴,1
265,ACU,不刺四渎,1
266,ACU,不可刺,1
267,ACU,不可灸,1
268,ACU,不宫,1
269,ACU,不容,1
270,ACU,不容二穴,1
271,ACU,不容穴,1
272,ACU,不见火,1
273,ACU,丑,1
274,ACU,丘,1
275,ACU,丘俞,1
276,ACU,丘墟,1
277,ACU,丘墟二穴,1
278,ACU,丘墟穴,1
279,ACU,丘虚穴,1
280,ACU,丙午时受三焦,1
281,ACU,丙子,1
282,ACU,丙子时中前谷荥,1
283,ACU,丙少泽,1
284,ACU,丙日申时少怿当,1
285,ACU,丙申,1
286,ACU,东门上者,1
287,ACU,丝竹,1
288,ACU,丝竹空,1
289,ACU,丝竹空二穴,1
290,ACU,丝络,1
291,ACU,两乳二穴,1
292,ACU,两乳前各一寸五分上两行三骨罅间六处,1
293,ACU,两乳头,1
294,ACU,两乳穴,1
295,ACU,两井,1
296,ACU,两商,1
297,ACU,两太阳穴,1
298,ACU,两头是穴,1
299,ACU,两手内外侧各三,1
300,ACU,两手劳宫,1
301,ACU,两手外内侧各三,1
302,ACU,两手少商,1
303,ACU,两手少商穴,1
304,ACU,两手心,1
305,ACU,两手神门,1
306,ACU,两手足大指爪甲,1
